"FTP Species" "Portal Species" "Species Label" "Class" "Class Label"
"266" "Sorex_araneus" "Sorex_araneus" "Shrew" "Laurasiatheria" "Laurasiatheria"
"267" "Sparus_aurata" "Sparus_aurata" "Gilthead seabream" "Actinopterygii" "Fish"
"268" "Spermophilus_dauricus" "Spermophilus_dauricus" "Daurian ground squirrel" "Euarchontoglires" "Rodents etc."
"269" "Sphaeramia_orbicularis" "Sphaeramia_orbicularis" "Orbiculate cardinalfish" "Actinopterygii" "Fish"
"270" "Sphenodon_punctatus" "Sphenodon_punctatus" "Tuatara" "Sauropsida" "Reptiles"
"271" "Stachyris_ruficeps" "Stachyris_ruficeps" "Rufous-capped babbler" "Aves" "Birds"
"272" "Stegastes_partitus" "Stegastes_partitus" "Bicolor damselfish" "Actinopterygii" "Fish"
"273" "Strigops_habroptila" "Strigops_habroptila" "Kakapo" "Aves" "Birds"
"274" "Strix_occidentalis_caurina" "Strix_occidentalis_caurina" "Northern spotted owl" "Aves" "Birds"
"275" "Struthio_camelus_australis" "Struthio_camelus_australis" "African ostrich" "Aves" "Birds"
"276" "Suricata_suricatta" "Suricata_suricatta" "Meerkat" "Laurasiatheria" "Laurasiatheria"
"277" "Sus_scrofa" "Sus_scrofa" "Pig" "Laurasiatheria" "Laurasiatheria"
"278" "Sus_scrofa_bamei" "Sus_scrofa" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"279" "Sus_scrofa_berkshire" "Berkshire pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"280" "Sus_scrofa_hampshire" "Hampshire pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"281" "Sus_scrofa_jinhua" "Jinhua pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"282" "Sus_scrofa_landrace" "Landrace pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"283" "Sus_scrofa_largewhite" "Large White pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"284" "Sus_scrofa_meishan" "meishan" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"285" "Sus_scrofa_pietrain" "pietrain" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"286" "Sus_scrofa_rongchang" "rongchang" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"287" "Sus_scrofa_tibetan" "Tibetan?pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"288" "Sus_scrofa_usmarc" "Pig USMARC" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"289" "Sus_scrofa_wuzhishan" "Wuzhishan pig" "Pig breeds" "Laurasiatheria" "Laurasiatheria"
"290" "Taeniopygia_guttata" "Taeniopygia_guttata" "Zebra finch" "Aves" "Birds"
"291" "Takifugu_rubripes" "Takifugu_rubripes" "Fugu" "Actinopterygii" "Fish"
"292" "Terrapene_carolina_triunguis" "Terrapene_carolina_triunguis" "Three-toed box turtle" "Sauropsida" "Reptiles"
"293" "Tetraodon_nigroviridis" "Tetraodon_nigroviridis" "Tetraodon" "Actinopterygii" "Fish"
"294" "Theropithecus_gelada" "Theropithecus_gelada" "Gelada" "Primates" "Primates"
"295" "Tupaia_belangeri" "Tupaia_belangeri" "Tree Shrew" "Euarchontoglires" "Rodents etc."
"296" "Tursiops_truncatus" "Tursiops_truncatus" "Dolphin" "Laurasiatheria" "Laurasiatheria"
"297" "Urocitellus_parryii" "Urocitellus_parryii" "Arctic ground squirrel" "Euarchontoglires" "Rodents etc."
"298" "Ursus_americanus" "Ursus_americanus" "American black bear" "Laurasiatheria" "Laurasiatheria"
"299" "Ursus_maritimus" "Ursus_maritimus" "Polar bear" "Laurasiatheria" "Laurasiatheria"
"300" "Ursus_thibetanus_thibetanus" "Ursus_thibetanus_thibetanus" "Asiatic black bear" "Laurasiatheria" "Laurasiatheria"
"301" "Varanus_komodoensis" "Varanus_komodoensis" "Komodo dragon" "Sauropsida" "Reptiles"
"302" "Vicugna_pacos" "Vicugna_pacos" "Alpaca" "Laurasiatheria" "Laurasiatheria"
"303" "Vombatus_ursinus" "Vombatus_ursinus" "Common wombat" "Mammalia" "Other mammals"
"304" "Vulpes_vulpes" "Vulpes_vulpes" "Red fox" "Laurasiatheria" "Laurasiatheria"
"305" "Xenopus_tropicalis" "Xenopus_tropicalis" "Tropical clawed frog" "Amphibia" "Amphibians"
"306" "Xiphophorus_couchianus" "Xiphophorus_couchianus" "Monterrey platyfish" "Actinopterygii" "Fish"
"307" "Xiphophorus_maculatus" "Xiphophorus_maculatus" "Platyfish" "Actinopterygii" "Fish"
"308" "Zalophus_californianus" "Zalophus_californianus" "California sea lion" "Laurasiatheria" "Laurasiatheria"
"309" "Zonotrichia_albicollis" "Zonotrichia_albicollis" "White-throated sparrow" "Aves" "Birds"
"310" "Zosterops_lateralis_melanops" "Zosterops_lateralis_melanops" "Silver-eye" "Aves" "Birds"
