"FTP Species" "Portal Species" "Species Label" "Class" "Class Label"
"61" "Chlorocebus_sabaeus" "Chlorocebus_sabaeus" "Vervet-AGM" "Primates" "Primates"
"62" "Choloepus_hoffmanni" "Choloepus_hoffmanni" "Sloth" "Xenarthra" "Xenarthra"
"63" "Chrysemys_picta_bellii" "Chrysemys_picta_bellii" "Painted turtle" "Sauropsida" "Reptiles"
"64" "Chrysolophus_pictus" "Chrysolophus_pictus" "Golden pheasant" "Aves" "Birds"
"65" "Ciona_intestinalis" "Ciona_intestinalis" "C.intestinalis" "Chordata" "Other chordates"
"66" "Ciona_savignyi" "Ciona_savignyi" "C.savignyi" "Chordata" "Other chordates"
"67" "Clupea_harengus" "Clupea_harengus" "Atlantic herring" "Actinopterygii" "Fish"
"68" "Colobus_angolensis_palliatus" "Colobus_angolensis_palliatus" "Angola colobus" "Primates" "Primates"
"69" "Corvus_moneduloides" "Corvus_moneduloides" "New Caledonian crow" "Aves" "Birds"
"70" "Cottoperca_gobio" "Cottoperca_gobio" "Channel bull blenny" "Actinopterygii" "Fish"
"71" "Coturnix_japonica" "Coturnix_japonica" "Japanese quail" "Aves" "Birds"
"72" "Cricetulus_griseus_chok1gshd" "Cricetulus_griseus_chok1gshd" "Chinese hamster CHOK1GS
" "Euarchontoglires" "Rodents etc."
"73" "Cricetulus_griseus_crigri" "Cricetulus_griseus_crigri" "Chinese hamster CriGri" "Euarchontoglires" "Rodents etc."
"74" "Cricetulus_griseus_picr" "Cricetulus_griseus_picr" "Chinese hamster PICR" "Euarchontoglires" "Rodents etc."
"75" "Crocodylus_porosus" "Crocodylus_porosus" "Australian saltwater crocodile" "Sauropsida" "Reptiles"
"76" "Cyanistes_caeruleus" "Cyanistes_caeruleus" "Blue tit" "Aves" "Birds"
"77" "Cyclopterus_lumpus" "Cyclopterus_lumpus" "Lumpfish" "Actinopterygii" "Fish"
"78" "Cynoglossus_semilaevis" "Cynoglossus_semilaevis" "Tongue sole" "Actinopterygii" "Fish"
"79" "Cyprinodon_variegatus" "Cyprinodon_variegatus" "Sheepshead minnow" "Actinopterygii" "Fish"
"80" "Cyprinus_carpio" "Cyprinus_carpio" "Common carp" "Actinopterygii" "Fish"
"81" "Cyprinus_carpio_german_mirror" "Cyprinus_carpio_german_mirror" "Common carp german mirror
" "Actinopterygii" "Fish"
"82" "Cyprinus_carpio_hebao_red" "Cyprinus_carpio_hebao_red" "Common carp hebao red" "Actinopterygii" "Fish"
"83" "Cyprinus_carpio_huanghe" "Cyprinus_carpio_huanghe" "Common carp huanghe" "Actinopterygii" "Fish"
"84" "Danio_rerio" "Danio_rerio" "Zebrafish" "Actinopterygii" "Fish"
"85" "Dasypus_novemcinctus" "Dasypus_novemcinctus" "Armadillo" "Xenarthra" "Xenarthra"
